profile,layer,channel,tau
reverse,3,67,8.562399864196777
reverse,3,68,3.8249316215515137
reverse,3,69,4.867620468139648
reverse,3,70,2.362896680831909
reverse,3,71,7.627458572387695
reverse,3,72,2.3238632678985596
reverse,3,73,1.5993667840957642
reverse,3,74,1.3670765161514282
reverse,3,75,2.984656810760498
reverse,3,76,4.109510898590088
reverse,3,77,3.6466782093048096
reverse,3,78,1.6729843616485596
reverse,3,79,5.4459123611450195
reverse,3,80,2.5252974033355713
reverse,3,81,2.059401035308838
reverse,3,82,1.9056566953659058
reverse,3,83,2.108428478240967
reverse,3,84,4.356110572814941
reverse,3,85,1.9981858730316162
reverse,3,86,3.6870126724243164
reverse,3,87,2.5190842151641846
reverse,3,88,4.336314678192139
reverse,3,89,3.7753713130950928
reverse,3,90,1.2492367029190063
reverse,3,91,3.238245964050293
reverse,3,92,1.4558850526809692
